Xamarin.VisualStudio.iOS.DocSync.Model.DocumentationDownloader Information: 0 : [2016-01-12 10:24:26.8806] Starting download job. Download URL: https://devimages.apple.com.edgekey.net/docsets/20141020/031-07735-A.dmg, Destination: C:\Users\Ludovico Biondani\AppData\Local\Temp\Xamarin\031-07735-A.dmg
Xamarin.VisualStudio.iOS.DocSync.Model.DocumentationDownloader Error: 0 : [2016-01-12 10:24:32.4407] Download job completed. Id: 6bb408c8-28a2-47f6-8bfd-3642d838610f, Download URL: https://devimages.apple.com.edgekey.net/docsets/20141020/031-07735-A.dmg, Destination: C:\Users\Ludovico Biondani\AppData\Local\Temp\Xamarin\031-07735-A.dmg
Xamarin.VisualStudio.iOS.DocSync.Model.DocumentationDownloader Error: 0 : [2016-01-12 10:24:37.4230] Download job completed. Id: 6bb408c8-28a2-47f6-8bfd-3642d838610f, Download URL: https://devimages.apple.com.edgekey.net/docsets/20141020/031-07735-A.dmg, Destination: C:\Users\Ludovico Biondani\AppData\Local\Temp\Xamarin\031-07735-A.dmg
Xamarin.VisualStudio.iOS.DocSync.Model.DocumentationDownloader Error: 0 : [2016-01-12 10:24:42.4335] Download job completed. Id: 6bb408c8-28a2-47f6-8bfd-3642d838610f, Download URL: https://devimages.apple.com.edgekey.net/docsets/20141020/031-07735-A.dmg, Destination: C:\Users\Ludovico Biondani\AppData\Local\Temp\Xamarin\031-07735-A.dmg
Xamarin.VisualStudio.iOS.DocSync.Model.DocumentationDownloader Error: 0 : [2016-01-12 10:24:47.4441] Download job completed. Id: 6bb408c8-28a2-47f6-8bfd-3642d838610f, Download URL: https://devimages.apple.com.edgekey.net/docsets/20141020/031-07735-A.dmg, Destination: C:\Users\Ludovico Biondani\AppData\Local\Temp\Xamarin\031-07735-A.dmg
Xamarin.VisualStudio.iOS.DocSync.Model.DocumentationDownloader Error: 0 : [2016-01-12 10:24:52.4506] Download job completed. Id: 6bb408c8-28a2-47f6-8bfd-3642d838610f, Download URL: https://devimages.apple.com.edgekey.net/docsets/20141020/031-07735-A.dmg, Destination: C:\Users\Ludovico Biondani\AppData\Local\Temp\Xamarin\031-07735-A.dmg
Xamarin.VisualStudio.iOS.DocSync.Model.DocumentationDownloader Error: 0 : [2016-01-12 10:24:57.4601] Download job completed. Id: 6bb408c8-28a2-47f6-8bfd-3642d838610f, Download URL: https://devimages.apple.com.edgekey.net/docsets/20141020/031-07735-A.dmg, Destination: C:\Users\Ludovico Biondani\AppData\Local\Temp\Xamarin\031-07735-A.dmg
Xamarin.VisualStudio.iOS.DocSync.Model.DocumentationDownloader Error: 0 : [2016-01-12 10:25:02.4686] Download job completed. Id: 6bb408c8-28a2-47f6-8bfd-3642d838610f, Download URL: https://devimages.apple.com.edgekey.net/docsets/20141020/031-07735-A.dmg, Destination: C:\Users\Ludovico Biondani\AppData\Local\Temp\Xamarin\031-07735-A.dmg
Xamarin.VisualStudio.iOS.DocSync.Model.DocumentationDownloader Error: 0 : [2016-01-12 10:25:07.4927] Download job completed. Id: 6bb408c8-28a2-47f6-8bfd-3642d838610f, Download URL: https://devimages.apple.com.edgekey.net/docsets/20141020/031-07735-A.dmg, Destination: C:\Users\Ludovico Biondani\AppData\Local\Temp\Xamarin\031-07735-A.dmg
Xamarin.VisualStudio.iOS.DocSync.Model.DocumentationDownloader Error: 0 : [2016-01-12 10:25:12.4968] Download job completed. Id: 6bb408c8-28a2-47f6-8bfd-3642d838610f, Download URL: https://devimages.apple.com.edgekey.net/docsets/20141020/031-07735-A.dmg, Destination: C:\Users\Ludovico Biondani\AppData\Local\Temp\Xamarin\031-07735-A.dmg
Xamarin.VisualStudio.iOS.DocSync.Model.DocumentationDownloader Error: 0 : [2016-01-12 10:25:17.5090] Download job completed. Id: 6bb408c8-28a2-47f6-8bfd-3642d838610f, Download URL: https://devimages.apple.com.edgekey.net/docsets/20141020/031-07735-A.dmg, Destination: C:\Users\Ludovico Biondani\AppData\Local\Temp\Xamarin\031-07735-A.dmg
Xamarin.VisualStudio.iOS.DocSync.Model.DocumentationDownloader Error: 0 : [2016-01-12 10:25:22.5111] Download job completed. Id: 6bb408c8-28a2-47f6-8bfd-3642d838610f, Download URL: https://devimages.apple.com.edgekey.net/docsets/20141020/031-07735-A.dmg, Destination: C:\Users\Ludovico Biondani\AppData\Local\Temp\Xamarin\031-07735-A.dmg
Xamarin.VisualStudio.iOS.DocSync.Model.DocumentationDownloader Error: 0 : [2016-01-12 10:25:27.5212] Download job completed. Id: 6bb408c8-28a2-47f6-8bfd-3642d838610f, Download URL: https://devimages.apple.com.edgekey.net/docsets/20141020/031-07735-A.dmg, Destination: C:\Users\Ludovico Biondani\AppData\Local\Temp\Xamarin\031-07735-A.dmg
Xamarin.VisualStudio.iOS.DocSync.Model.DocumentationDownloader Error: 0 : [2016-01-12 10:25:32.5313] Download job completed. Id: 6bb408c8-28a2-47f6-8bfd-3642d838610f, Download URL: https://devimages.apple.com.edgekey.net/docsets/20141020/031-07735-A.dmg, Destination: C:\Users\Ludovico Biondani\AppData\Local\Temp\Xamarin\031-07735-A.dmg
Xamarin.VisualStudio.iOS.DocSync.Model.DocumentationDownloader Error: 0 : [2016-01-12 10:25:37.5344] Download job completed. Id: 6bb408c8-28a2-47f6-8bfd-3642d838610f, Download URL: https://devimages.apple.com.edgekey.net/docsets/20141020/031-07735-A.dmg, Destination: C:\Users\Ludovico Biondani\AppData\Local\Temp\Xamarin\031-07735-A.dmg
Xamarin.VisualStudio.iOS.DocSync.Model.DocumentationDownloader Error: 0 : [2016-01-12 10:25:42.5515] Download job completed. Id: 6bb408c8-28a2-47f6-8bfd-3642d838610f, Download URL: https://devimages.apple.com.edgekey.net/docsets/20141020/031-07735-A.dmg, Destination: C:\Users\Ludovico Biondani\AppData\Local\Temp\Xamarin\031-07735-A.dmg
Xamarin.VisualStudio.iOS.DocSync.Model.DocumentationDownloader Error: 0 : [2016-01-12 10:25:47.5516] Download job completed. Id: 6bb408c8-28a2-47f6-8bfd-3642d838610f, Download URL: https://devimages.apple.com.edgekey.net/docsets/20141020/031-07735-A.dmg, Destination: C:\Users\Ludovico Biondani\AppData\Local\Temp\Xamarin\031-07735-A.dmg
Xamarin.VisualStudio.iOS.DocSync.Model.DocumentationDownloader Error: 0 : [2016-01-12 10:25:52.5617] Download job completed. Id: 6bb408c8-28a2-47f6-8bfd-3642d838610f, Download URL: https://devimages.apple.com.edgekey.net/docsets/20141020/031-07735-A.dmg, Destination: C:\Users\Ludovico Biondani\AppData\Local\Temp\Xamarin\031-07735-A.dmg
Xamarin.VisualStudio.iOS.DocSync.Model.DocumentationDownloader Error: 0 : [2016-01-12 10:25:57.5718] Download job completed. Id: 6bb408c8-28a2-47f6-8bfd-3642d838610f, Download URL: https://devimages.apple.com.edgekey.net/docsets/20141020/031-07735-A.dmg, Destination: C:\Users\Ludovico Biondani\AppData\Local\Temp\Xamarin\031-07735-A.dmg
Xamarin.VisualStudio.iOS.DocSync.Model.DocumentationDownloader Error: 0 : [2016-01-12 10:26:02.5819] Download job completed. Id: 6bb408c8-28a2-47f6-8bfd-3642d838610f, Download URL: https://devimages.apple.com.edgekey.net/docsets/20141020/031-07735-A.dmg, Destination: C:\Users\Ludovico Biondani\AppData\Local\Temp\Xamarin\031-07735-A.dmg
Xamarin.VisualStudio.iOS.DocSync.Model.DocumentationDownloader Error: 0 : [2016-01-12 10:26:07.5900] Download job completed. Id: 6bb408c8-28a2-47f6-8bfd-3642d838610f, Download URL: https://devimages.apple.com.edgekey.net/docsets/20141020/031-07735-A.dmg, Destination: C:\Users\Ludovico Biondani\AppData\Local\Temp\Xamarin\031-07735-A.dmg
Xamarin.VisualStudio.iOS.DocSync.Model.DocumentationDownloader Error: 0 : [2016-01-12 10:26:12.5951] Download job completed. Id: 6bb408c8-28a2-47f6-8bfd-3642d838610f, Download URL: https://devimages.apple.com.edgekey.net/docsets/20141020/031-07735-A.dmg, Destination: C:\Users\Ludovico Biondani\AppData\Local\Temp\Xamarin\031-07735-A.dmg
Xamarin.VisualStudio.iOS.DocSync.Model.DocumentationDownloader Error: 0 : [2016-01-12 10:26:17.6012] Download job completed. Id: 6bb408c8-28a2-47f6-8bfd-3642d838610f, Download URL: https://devimages.apple.com.edgekey.net/docsets/20141020/031-07735-A.dmg, Destination: C:\Users\Ludovico Biondani\AppData\Local\Temp\Xamarin\031-07735-A.dmg
Xamarin.VisualStudio.iOS.DocSync.Model.DocumentationDownloader Error: 0 : [2016-01-12 10:26:22.6123] Download job completed. Id: 6bb408c8-28a2-47f6-8bfd-3642d838610f, Download URL: https://devimages.apple.com.edgekey.net/docsets/20141020/031-07735-A.dmg, Destination: C:\Users\Ludovico Biondani\AppData\Local\Temp\Xamarin\031-07735-A.dmg
Xamarin.VisualStudio.iOS.DocSync.Model.DocumentationDownloader Error: 0 : [2016-01-12 10:26:27.6165] Download job completed. Id: 6bb408c8-28a2-47f6-8bfd-3642d838610f, Download URL: https://devimages.apple.com.edgekey.net/docsets/20141020/031-07735-A.dmg, Destination: C:\Users\Ludovico Biondani\AppData\Local\Temp\Xamarin\031-07735-A.dmg
Xamarin.VisualStudio.iOS.DocSync.Model.DocumentationDownloader Error: 0 : [2016-01-12 10:26:32.6266] Download job completed. Id: 6bb408c8-28a2-47f6-8bfd-3642d838610f, Download URL: https://devimages.apple.com.edgekey.net/docsets/20141020/031-07735-A.dmg, Destination: C:\Users\Ludovico Biondani\AppData\Local\Temp\Xamarin\031-07735-A.dmg
Xamarin.VisualStudio.iOS.DocSync.Model.DocumentationDownloader Error: 0 : [2016-01-12 10:26:37.6347] Download job completed. Id: 6bb408c8-28a2-47f6-8bfd-3642d838610f, Download URL: https://devimages.apple.com.edgekey.net/docsets/20141020/031-07735-A.dmg, Destination: C:\Users\Ludovico Biondani\AppData\Local\Temp\Xamarin\031-07735-A.dmg
Xamarin.VisualStudio.iOS.DocSync.Model.DocumentationDownloader Error: 0 : [2016-01-12 10:26:42.6348] Download job completed. Id: 6bb408c8-28a2-47f6-8bfd-3642d838610f, Download URL: https://devimages.apple.com.edgekey.net/docsets/20141020/031-07735-A.dmg, Destination: C:\Users\Ludovico Biondani\AppData\Local\Temp\Xamarin\031-07735-A.dmg
Xamarin.VisualStudio.iOS.DocSync.Model.DocumentationDownloader Error: 0 : [2016-01-12 10:26:47.6469] Download job completed. Id: 6bb408c8-28a2-47f6-8bfd-3642d838610f, Download URL: https://devimages.apple.com.edgekey.net/docsets/20141020/031-07735-A.dmg, Destination: C:\Users\Ludovico Biondani\AppData\Local\Temp\Xamarin\031-07735-A.dmg
